Date,Year,Quarter,QuarterLabel,Month,MonthName,MonthShort,YearMonth,Day,Weekday,WeekdayName,IsWeekend
2014-03-15,2014,1,Q1 2014,3,March,Mar,2014-03,15,6,Saturday,True
2014-03-16,2014,1,Q1 2014,3,March,Mar,2014-03,16,7,Sunday,True
2014-03-17,2014,1,Q1 2014,3,March,Mar,2014-03,17,1,Monday,False
2014-03-18,2014,1,Q1 2014,3,March,Mar,2014-03,18,2,Tuesday,False
2014-03-19,2014,1,Q1 2014,3,March,Mar,2014-03,19,3,Wednesday,False
2014-03-20,2014,1,Q1 2014,3,March,Mar,2014-03,20,4,Thursday,False
2014-03-21,2014,1,Q1 2014,3,March,Mar,2014-03,21,5,Friday,False
2014-03-22,2014,1,Q1 2014,3,March,Mar,2014-03,22,6,Saturday,True
2014-03-23,2014,1,Q1 2014,3,March,Mar,2014-03,23,7,Sunday,True
2014-03-24,2014,1,Q1 2014,3,March,Mar,2014-03,24,1,Monday,False
2014-03-25,2014,1,Q1 2014,3,March,Mar,2014-03,25,2,Tuesday,False
2014-03-26,2014,1,Q1 2014,3,March,Mar,2014-03,26,3,Wednesday,False
2014-03-27,2014,1,Q1 2014,3,March,Mar,2014-03,27,4,Thursday,False
2014-03-28,2014,1,Q1 2014,3,March,Mar,2014-03,28,5,Friday,False
2014-03-29,2014,1,Q1 2014,3,March,Mar,2014-03,29,6,Saturday,True
2014-03-30,2014,1,Q1 2014,3,March,Mar,2014-03,30,7,Sunday,True
2014-03-31,2014,1,Q1 2014,3,March,Mar,2014-03,31,1,Monday,False
2014-04-01,2014,2,Q2 2014,4,April,Apr,2014-04,1,2,Tuesday,False
2014-04-02,2014,2,Q2 2014,4,April,Apr,2014-04,2,3,Wednesday,False
2014-04-03,2014,2,Q2 2014,4,April,Apr,2014-04,3,4,Thursday,False
2014-04-04,2014,2,Q2 2014,4,April,Apr,2014-04,4,5,Friday,False
2014-04-05,2014,2,Q2 2014,4,April,Apr,2014-04,5,6,Saturday,True
2014-04-06,2014,2,Q2 2014,4,April,Apr,2014-04,6,7,Sunday,True
2014-04-07,2014,2,Q2 2014,4,April,Apr,2014-04,7,1,Monday,False
2014-04-08,2014,2,Q2 2014,4,April,Apr,2014-04,8,2,Tuesday,False
2014-04-09,2014,2,Q2 2014,4,April,Apr,2014-04,9,3,Wednesday,False
2014-04-10,2014,2,Q2 2014,4,April,Apr,2014-04,10,4,Thursday,False
2014-04-11,2014,2,Q2 2014,4,April,Apr,2014-04,11,5,Friday,False
2014-04-12,2014,2,Q2 2014,4,April,Apr,2014-04,12,6,Saturday,True
2014-04-13,2014,2,Q2 2014,4,April,Apr,2014-04,13,7,Sunday,True
2014-04-14,2014,2,Q2 2014,4,April,Apr,2014-04,14,1,Monday,False
2014-04-15,2014,2,Q2 2014,4,April,Apr,2014-04,15,2,Tuesday,False
2014-04-16,2014,2,Q2 2014,4,April,Apr,2014-04,16,3,Wednesday,False
2014-04-17,2014,2,Q2 2014,4,April,Apr,2014-04,17,4,Thursday,False
2014-04-18,2014,2,Q2 2014,4,April,Apr,2014-04,18,5,Friday,False
2014-04-19,2014,2,Q2 2014,4,April,Apr,2014-04,19,6,Saturday,True
2014-04-20,2014,2,Q2 2014,4,April,Apr,2014-04,20,7,Sunday,True
2014-04-21,2014,2,Q2 2014,4,April,Apr,2014-04,21,1,Monday,False
2014-04-22,2014,2,Q2 2014,4,April,Apr,2014-04,22,2,Tuesday,False
2014-04-23,2014,2,Q2 2014,4,April,Apr,2014-04,23,3,Wednesday,False
2014-04-24,2014,2,Q2 2014,4,April,Apr,2014-04,24,4,Thursday,False
2014-04-25,2014,2,Q2 2014,4,April,Apr,2014-04,25,5,Friday,False
2014-04-26,2014,2,Q2 2014,4,April,Apr,2014-04,26,6,Saturday,True
2014-04-27,2014,2,Q2 2014,4,April,Apr,2014-04,27,7,Sunday,True
2014-04-28,2014,2,Q2 2014,4,April,Apr,2014-04,28,1,Monday,False
2014-04-29,2014,2,Q2 2014,4,April,Apr,2014-04,29,2,Tuesday,False
2014-04-30,2014,2,Q2 2014,4,April,Apr,2014-04,30,3,Wednesday,False
2014-05-01,2014,2,Q2 2014,5,May,May,2014-05,1,4,Thursday,False
2014-05-02,2014,2,Q2 2014,5,May,May,2014-05,2,5,Friday,False
2014-05-03,2014,2,Q2 2014,5,May,May,2014-05,3,6,Saturday,True
2014-05-04,2014,2,Q2 2014,5,May,May,2014-05,4,7,Sunday,True
2014-05-05,2014,2,Q2 2014,5,May,May,2014-05,5,1,Monday,False
2014-05-06,2014,2,Q2 2014,5,May,May,2014-05,6,2,Tuesday,False
2014-05-07,2014,2,Q2 2014,5,May,May,2014-05,7,3,Wednesday,False
2014-05-08,2014,2,Q2 2014,5,May,May,2014-05,8,4,Thursday,False
2014-05-09,2014,2,Q2 2014,5,May,May,2014-05,9,5,Friday,False
2014-05-10,2014,2,Q2 2014,5,May,May,2014-05,10,6,Saturday,True
2014-05-11,2014,2,Q2 2014,5,May,May,2014-05,11,7,Sunday,True
2014-05-12,2014,2,Q2 2014,5,May,May,2014-05,12,1,Monday,False
2014-05-13,2014,2,Q2 2014,5,May,May,2014-05,13,2,Tuesday,False
2014-05-14,2014,2,Q2 2014,5,May,May,2014-05,14,3,Wednesday,False
2014-05-15,2014,2,Q2 2014,5,May,May,2014-05,15,4,Thursday,False
2014-05-16,2014,2,Q2 2014,5,May,May,2014-05,16,5,Friday,False
2014-05-17,2014,2,Q2 2014,5,May,May,2014-05,17,6,Saturday,True
2014-05-18,2014,2,Q2 2014,5,May,May,2014-05,18,7,Sunday,True
2014-05-19,2014,2,Q2 2014,5,May,May,2014-05,19,1,Monday,False
2014-05-20,2014,2,Q2 2014,5,May,May,2014-05,20,2,Tuesday,False
